bus_i;bus_type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
1;3;0.0;0.0;0;0;0;1.0;0.0;22;0;1.05;0.95
2;1;0.08846492507900637;0.02907576728712913;0;0;0;0.9984669123974032;-0.073316928482125;22;0;1.05;0.95
3;1;0.0;0.0;0;0;0;0.9975271624836842;-0.1181709935705356;22;0;1.05;0.95
4;1;0.0;0.0;0;0;0;0.9959849754999264;-0.160846999954147;22;0;1.05;0.95
5;1;0.0;0.0;0;0;0;0.9956016708709486;-0.1714293360763966;22;0;1.05;0.95
6;1;0.30248399259333447;0.09941741374226053;0;0;0;0.995951363919584;-0.161280636299486;22;0;1.05;0.95
7;1;0.0;0.0;0;0;0;0.9929411002681454;-0.2166183839601726;22;0;1.05;0.95
8;1;0.06247015288977199;0.020532064892784318;0;0;0;0.9956015650110186;-0.1714308143787189;22;0;1.05;0.95
9;1;0.0;0.0;0;0;0;0.991478196389837;-0.2416577787909984;22;0;1.05;0.95
10;1;0.07201391689157471;0.023668814039323867;0;0;0;0.992941096587633;-0.2166184912667548;22;0;1.05;0.95
11;1;0.04790491085364541;0.01574490701937046;0;0;0;0.992941095212866;-0.2166185313485508;22;0;1.05;0.95
12;1;0.0;0.0;0;0;0;0.9871092793611884;-0.3163140306088749;22;0;1.05;0.95
13;1;0.06562790693863188;0.0215699239902294;0;0;0;0.9914613995560986;-0.2418340894464455;22;0;1.05;0.95
14;1;0.03177818441671714;0.010444536038764385;0;0;0;0.9914466931120564;-0.2419942098760802;22;0;1.05;0.95
15;1;0.03117257178177097;0.01024548917110911;0;0;0;0.991478194145474;-0.2416578443227092;22;0;1.05;0.95
16;1;0.0;0.0;0;0;0;0.9870809931785592;-0.3166253677502132;22;0;1.05;0.95
17;1;0.07286574455477535;0.02394878384710588;0;0;0;0.9870806929344844;-0.3166296594474063;22;0;1.05;0.95
18;1;0.0500132194778135;0.01643784513290461;0;0;0;0.9869269028558124;-0.3186065641171504;22;0;1.05;0.95
19;1;0.0;0.0;0;0;0;0.986813454687754;-0.3203684718598729;22;0;1.05;0.95
20;1;0.08182016921127758;0.026891834985455682;0;0;0;0.9868134499783932;-0.3203686100154593;22;0;1.05;0.95
21;1;0.007770814987429994;0.0025540335322962043;0;0;0;0.9867901054282984;-0.3209531406829259;22;0;1.05;0.95
22;1;0.0;0.0;0;0;0;0.9867900839050116;-0.3209540796026835;22;0;1.05;0.95
23;1;0.0;0.0;0;0;0;0.9867837661795346;-0.3209882119632992;22;0;1.05;0.95
24;1;0.0;0.0;0;0;0;0.9867671936522936;-0.3208795462103117;22;0;1.05;0.95
25;1;0.01429816867919793;0.004699379245588616;0;0;0;0.9867671925414592;-0.320879578799698;22;0;1.05;0.95
26;1;0.0;0.0;0;0;0;0.983737900488037;-0.3740644507743977;22;0;1.05;0.95
27;1;0.0;0.0;0;0;0;0.9837184092182282;-0.3749881090589922;22;0;1.05;0.95
28;1;0.04838883948259647;0.015903960208050547;0;0;0;0.9837183826668832;-0.3749889507753181;22;0;1.05;0.95
29;1;0.0;0.0;0;0;0;0.9837183663494948;-0.3749894754854309;22;0;1.05;0.95
30;1;0.0;0.0;0;0;0;0.9836977152434664;-0.3749085239747225;22;0;1.05;0.95
31;1;0.11051442296239612;0.036322774992731933;0;0;0;0.9836861573936106;-0.374861864696882;22;0;1.05;0.95
32;1;0.14125238163019158;0.04642542012138357;0;0;0;0.9836614105720342;-0.3760053845779481;22;0;1.05;0.95
33;1;0.0;0.0;0;0;0;0.9807937267759724;-0.424826959080041;22;0;1.05;0.95
34;1;0.08845008452021655;0.02907088906885468;0;0;0;0.9807089621431628;-0.4262143598249234;22;0;1.05;0.95
35;1;0.0;0.0;0;0;0;0.9807102500953238;-0.4264150161725027;22;0;1.05;0.95
36;1;0.0;0.0;0;0;0;0.9807102500953238;-0.4264150161725027;22;0;1.05;0.95
37;1;0.0;0.0;0;0;0;0.9787154370214418;-0.4605169750995497;22;0;1.05;0.95
38;1;0.0;0.0;0;0;0;0.9786949856791956;-0.460657717892557;22;0;1.05;0.95
39;1;0.05333849682002583;0.017530763921231037;0;0;0;0.978694948456918;-0.4606582543919972;22;0;1.05;0.95
40;1;0.04267332376214482;0.014025441595399802;0;0;0;0.9744128212769164;-0.5349946179871892;22;0;1.05;0.95
41;1;0.026238635372612784;0.00862385218772488;0;0;0;0.9743941932713092;-0.535089774710752;22;0;1.05;0.95
42;1;0.0;0.0;0;0;0;0.9693502284663508;-0.6229988781709135;22;0;1.05;0.95
